PackageText,Location
"1060 Dalton Ave S, Salt Lake City, UT 84104","International Peace Gardens 1060 Dalton Ave S"
"None1","Western Governors University 4001 South 700 East, Salt Lake City, UT 84107"
"1330 2100 S, Salt Lake City, UT 84106","Sugar House Park 1330 2100 S"
"None2","International Peace Gardens 1060 Dalton Ave S"
"1488 4800 S, Salt Lake City, UT 84123","Taylorsville-Bennion Heritage City Gov Off 1488 4800 S",
"177 W Price Ave, Salt Lake City, UT 84115","Salt Lake City Division of Health Services 177 W Price Ave"
"195 W Oakland Ave, Salt Lake City, UT 84115","South Salt Lake Public Works 195 W Oakland Ave"
"2010 W 500 S, Salt Lake City, UT 84104","Salt Lake City Streets and Sanitation 2010 W 500 S"
"2300 Parkway Blvd, West Valley City, UT 84119","Deker Lake 2300 Parkway Blvd"
"233 Canyon Rd, Salt Lake City, UT 84103","Salt Lake City Ottinger Hall 233 Canyon Rd"
"2530 S 500 E, Salt Lake City, UT 84106","Columbus Library 2530 S 500 E"
"2600 Taylorsville Blvd, Salt Lake City, UT 84118","Taylorsville City Hall 2600 Taylorsville Blvd"
"2835 Main St, Salt Lake City, UT 84115","South Salt Lake Police 2835 Main St"
"300 State St, Salt Lake City, UT 84103","Council Hall 300 State St"
"3060 Lester St, West Valley City, UT 84119","Redwood Park 3060 Lester St"
"3148 S 1100 W, Salt Lake City, UT 84119","Salt Lake County Mental Health 3148 S 1100 W"
"3365 S 900 W, Salt Lake City, UT 84119","Salt Lake County/United Police Dept 3365 S 900 W"
"3575 W Valley Central Station bus Loop, West Valley City, UT 84119","West Valley Prosecutor 3575 W Valley Central Sta bus Loop"
"3595 Main St, Salt Lake City, UT 84115","Housing Auth. of Salt Lake County 3595 Main St"
"380 W 2880 S, Salt Lake City, UT 84115","Utah DMV Administrative Office 380 W 2880 S"
"410 S State St, Salt Lake City, UT 84111","Third District Juvenile Court 410 S State St"
"4300 S 1300 E, Millcreek, UT 84117","Cottonwood Regional Softball Complex 4300 S 1300 E"
"4580 S 2300 E, Holladay, UT 84117","Holiday City Office 4580 S 2300 E"
"5025 State St, Murray, UT 84107","Murray City Museum 5025 State St"
"5100 South 2700 West, Salt Lake City, UT 84118","Valley Regional Softball Complex 5100 South 2700 West"
"5383 South 900 East #104, Salt Lake City, UT 84117","City Center of Rock Springs 5383 South 900 East #104"
"600 E 900 South, Salt Lake City, UT 84105","Rice Terrace Pavilion Park 600 E 900 South"
"6351 South 900 East, Murray, UT 84121","Wheeler Historic Farm 6351 South 900 East"
